,Title
47,Creating a Digital Health Smartphone App and Digital Phenotyping Platform for Mental Health and Diverse Healthcare Needs: an Interdisciplinary and Collaborative Approach
48,Human-Computer Interaction in Digital Mental Health
49,Artificial Intelligence in Digital Mental Health
50,Using Indirect Service-Learning to Promote Evidence-Based Digital Mental Health Tools on College Campuses
51,Mining digital data for smarter mental healthcare
52,Implemented New Technologies within the Complexity of Medical Rehabilitations: Improvement of Mental Health and Synergetic Outcomes with Healthcare Service Effects
53,Digital Mental Health - Innovations in Consumer Driven Care.
54,To what extent are patients involved in researching safety in acute mental healthcare?
55,"Impacts of Digital Healthy Diet Literacy and Healthy Eating Behavior on Fear of COVID-19, Changes in Mental Health, and Health-Related Quality of Life among Front-Line Health Care Workers"
56,Digital cognitive–behavioural therapy for insomnia compared with digital patient education about insomnia in individuals referred to secondary mental health services in Norway: protocol for a…
57,Psychological Impacts of COVID-19 on Healthcare Trainees and Perceptions towards a Digital Wellbeing Support Package
58,Improving Healthcare Access through Digital Health: The Use of Information and Communication Technologies
59,"Envisioning Post-pandemic Digital Neurological, Psychiatric and Mental Health Care"
60,MindTick: Case Study of a Digital System for Mental Health Clinicians to Monitor and Support Patients Outside Clinics
61,A Mindfulness Mobile App for Traumatized COVID-19 Healthcare Workers and Recovered Patients: A Response to “The Use of Digital Applications and COVID-19”
62,Self-help digital interventions targeted at improving psychological wellbeing in young people with common mental health conditions: A Systematic Review (Preprint)
63,Commentary: The impact of digital communication on adolescent to adult mental health service transitions
64,Digital tools for youth mental health
65,Improving Mental Health Care in Developing Countries Through Digital Technologies: A Mini Narrative Review of the Chilean Case
66,Cultural adaptation of internet- and mobile-based interventions for mental disorders: a systematic review
67,What Healthcare Professionals Should Know About Digital Technologies and Eating Disorders
68,Impact of the coronavirus disease 2019 pandemic on healthcare workers: systematic comparison between nurses and medical doctors
69,Burnout Among Healthcare Providers During COVID-19 Pandemic: Challenges and Evidence-based Interventions
70,Community Mental Health Care Delivery During the COVID-19 Pandemic: Practical Strategies for Improving Care for People with Serious Mental Illness
71,Psychotherapy for Healthcare Provider During COVID-19 Pandemic: An Evidence Based Clinical Review.
72,"Security, privacy, and healthcare-related conversational agents: a scoping review."
73,Remote Patient Monitoring Using Radio Frequency Identification (RFID) Technology and Machine Learning for Early Detection of Suicidal Behaviour in Mental Health Facilities
74,Queering E-Therapy: Considerations for the Delivery of Virtual Reality Based Mental Health Solutions with LGBTQ2IA+ Communities
75,Development of the Perceptions of Preventable Adverse Events Assessment Tool: Measurement Properties and Patients' Mental Health Status.
76,Emergency Medical Services response levels and subsequent emergency contacts among patients with a history of mental illness in Denmark: a nationwide study
77,Generation and evaluation of artificial mental health records for Natural Language Processing.
78,"Does app-based unguided self-management improve mental health literacy, patient empowerment and access to care for people with mental health impairments? Study protocol for a randomised controlled…"
79,Behavioral Health in the Pandemic: Making the Shift from Mental Illness to Mental Well-Being.
80,Community Mental Health Care Delivery During the COVID-19 Pandemic: Practical Strategies for Improving Care for People with Serious Mental Illness
81,Psychotherapy for Healthcare Provider During COVID-19 Pandemic: An Evidence Based Clinical Review.
82,"Security, privacy, and healthcare-related conversational agents: a scoping review."
83,Remote Patient Monitoring Using Radio Frequency Identification (RFID) Technology and Machine Learning for Early Detection of Suicidal Behaviour in Mental Health Facilities
84,Queering E-Therapy: Considerations for the Delivery of Virtual Reality Based Mental Health Solutions with LGBTQ2IA+ Communities
85,Emergency Medical Services response levels and subsequent emergency contacts among patients with a history of mental illness in Denmark: a nationwide study
86,Development of the Perceptions of Preventable Adverse Events Assessment Tool: Measurement Properties and Patients' Mental Health Status.
87,Generation and evaluation of artificial mental health records for Natural Language Processing.
88,"Does app-based unguided self-management improve mental health literacy, patient empowerment and access to care for people with mental health impairments? Study protocol for a randomised controlled…"
89,Real-Time Mental Health Analytics Using IoMT and Social Media Datasets: Research and Challenges
90,Real-Time Mental Health Analytics Using IoMT and Social Media Datasets: Research and Challenges
91,"(Re)claiming Stories in the #MeToo Movement: Righting Epistemic Wrongs of Physical, Mental, and Emotional Harms of Sexual Violence."
92,"Personal Mental Health Navigator: Harnessing the Power of Data, Personal Models, and Health Cybernetics to Promote Psychological Well-being"
93,Architecting Intelligent Smart Serious Games for Healthcare Applications: A Technical Perspective
94,"AI‐Powered Mental Health Chatbots: Examining Users’ Motivations, Active Communicative Action and Engagement after Mass‐Shooting Disasters"
95,Technology Enabled Clinical Care (TECC): Protocol for Prospective-Longitudinal-Cohort Study of Smartphone Augmented Mental Health Treatment.
96,"Participant Perspectives on the Contributions of Physical, Psychological, and Sociological Fidelity to Learning in Interprofessional Mental Health Simulation"
97,Natural language processing applied to mental illness detection: a narrative review
98,Utilizing games in the co-production of mental health services
99,Empathic Chatbot: Emotional Intelligence for Empathic Chatbot: Emotional Intelligence for Mental Health Well-being
100,Online Cognitive Behavioural Therapy (e-CBT) program tailored to address mental health problems in the context of the COVID-19 pandemic - Protocol.
101,Can Artificial Intelligence and Big Data Improve Gamified Healthcare Services and Devices?
102,Artificial Intelligence in Mental Health
103,Mental Health Interventions among Adolescents in India: A Scoping Review
104,A Systematic Review of the Current State and Validity of Digital Assessment Tools for Psychiatry (Preprint)
105,Digital Technologies for Schizophrenia Management: A Descriptive Review
106,Current directions in digital interventions for mood and anxiety disorders
107,Digital psychiatry: implications for patients and services.
108,"What Happens in Peer-Support, Stays in Peer-Support: Software Architecture for Peer-Sourcing in Mental Health"
109,The Use of Digital Applications and COVID-19
110,Behavior of general population toward mentally ill persons in Digital India: Where are we?
111,Psychiatry in the Digital Age: A Blessing or a Curse?
112,Digital Dance for People With Parkinson's Disease During the COVID-19 Pandemic: A Feasibility Study
113,Clinical or gimmickal: The use and effectiveness of mobile mental health apps for treating anxiety and depression
114,"A Preliminary Italian Cross-Sectional Study on the Level of Digital Psychiatry Training, Knowledge, Beliefs and Experiences among Medical Students, Psychiatry Trainees and Professionals"
115,Engaging Refugees With a Culturally Adapted Digital Intervention to Improve Sleep: A Randomized Controlled Pilot Trial
116,Using Digital Phenotyping to Accurately Detect Depression Severity
117,Digital iatrogenesis and workplace marginalization: some ethical issues involving self-tracking medical technologies
118,Long‐term benefits of digital cognitive behavioural therapy for insomnia: Follow‐up report from a randomized clinical trial
119,Use of Digital Technology to Provide or Enhance the Delivery of Interventions for Adolescents
120,Technology use in mental health practice and research: Legal and ethical risks
121,Digital Epidemiology: Use of Digital Data Collected for Non-epidemiological Purposes in Epidemiological Studies
122,MoM An Effort to Comprising CBT in Digital Gaming
123,Cognitive Intervention with Musical Stimuli Using Digital Devices on Mild Cognitive Impairment: A Pilot Study
124,Implementation of Mobile-Based Real-Time Heart Rate Variability Detection for Personalized Healthcare
125,Quality Social Connection as an 'Active Ingredient' in Digital Interventions for Young People With Depression and Anxiety: A Systematic Scoping Review and Meta-Analysis
126,AR-IoMT Mental Health Rehabilitation Applications for Smart Cities
127,Migrant mothers' mental health communication in the perinatal period
128,Sensing behavioral symptoms of mental health and delivering personalized interventions using mobile technologies
129,Telemedicine and IT: Use of Digital Technology on Inpatient Units
130,Analyzing Abusive Text Messages to Detect Digital Dating Abuse
131,Exploring the nature of the therapeutic alliance in technology-based interventions for mental health problems
132,Development of M-Healer: A Digital Toolkit to Improve Care and Reduce Human Rights Abuses Against People with Mental Illness in West Africa (Preprint)
133,Digital Psychiatry: Ethical Risks and Opportunities for Public Health and Well-Being
134,The Effect of Education and Training on Mental Workload in Medical Education
135,Ethical implications of digital communication for the patient-clinician relationship: analysis of interviews with clinicians and young adults with long term conditions (the LYNC study)
136,[Telepsychiatry provides new opportunities for the prevention and treatment of mental health disorders].
137,A hybrid analytic approach for understanding patient demand for mental health services
138,Digital Platforms in the Assessment and Monitoring of Patients with Bipolar Disorder
139,Artificial Intelligence and Mental Illness
140,EEG Signal Processing
141,Responsible AI—Two Frameworks for Ethical Design Practice
142,Potential Applications of Mobile and Wearable Devices for Psychological Support During the COVID-19 Pandemic: A Review
143,"Youth Mental Health, Family Practice, and Knowledge Translation Video Games about Psychosis: Family Physicians' Perspectives."
144,Digital Care: Agency and Temporality in Young People’s Use of Health Apps
145,More Light? Opportunities and Pitfalls in Digitalized Psychotherapy Process Research
146,SecondLook: Participatory Design Process to Create a Phone App that Detects Digital Dating Abuse
147,Improving Acceptability and Uptake Behavior for Internet-Based Cognitive-Behavioral Therapy
148,Virtual Reality Exposure Therapy P For Anxiety And
149,Self-Regulation in the Time of Lockdown
150,Technological prescription: evaluation of the effectiveness of mobile applications to improve depression and anxiety. Systematic review
151,Long-Term Functional Outcomes of Trauma Patients With Facial Injuries
152,ARCoD: An Augmented Reality Serious Game to Identify Cognitive Distortion
153,Adherence Forecasting for Guided Internet-Delivered Cognitive Behavioral Therapy: A Minimally Data-Sensitive Approach
154,EmoBall: A Study on a Tangible Interface to Self-report Emotional Information Considering Digital Competences
155,Going Online!
156,Detecting Depression Signs on Social Media: A Systematic Literature Review
157,Natural Language Processing Enabled Cognitive Disease Prediction Model for Varied Medical Records Implemented over ML Techniques
158,Wearables as a tool for measuring therapeutic adherence in behavioral health
159,Changing practice: assessing attitudes toward a NICE-informed collaborative treatment pathway for bipolar disorder
160,Wearables as a tool for measuring therapeutic adherence in behavioral health
161,"Is Everything Fine, Grandma? Acoustic and Linguistic Modeling for Robust Elderly Speech Emotion Recognition"
162,UvA-DARE ( Digital Academic Repository ) Emerging symptoms on the pathway to psychosis
163,Telepsychiatry during the COVID-19 pandemic
164,Depression Before and After a Diagnosis of Pancreatic Cancer
165,Cognitive plausibility in voice-based AI health counselors.
166,Designing a Platform that Connects People of Color to Therapists of Color
167,Health in a connected world
168,Anxiety and Depression Chatbot Features: A Scoping Review (Preprint)
169,Assessing the Usability of Complex Psychosocial Interventions: The Intervention Usability Scale
170,A novel methodology for evaluating user interfaces in health care
171,The relationships of job and family demands and job and family resources with family caregivers’ strain
172,Potential of using visual imagery to revolutionise measurement of emotional health
173,Social media adaptation of the evidence-based Mothers and Babies group cognitive behavioral therapy intervention to prevent depression in perinatal youth: a qualitative study (Preprint)
174,The digitization of psychiatry: With what body and for what soul?
175,"Social Media/Networking and Psychiatric Education: Competencies, Teaching Methods, and Implications"
176,"MyHEARTSMAP: development and evaluation of a psychosocial self-assessment tool, for and by youth"
177,Vision Diagnostics and Treatment System for Children with Disabilities
178,"A Review Article on Internet-based Psychological Interventions in Primary Care. What is the Global Experience? How Reliable are Results from RCTs? Lessons Learned from the European, US and Australian…"
179,Behavioral health support and online peer communities: international experiences.
180,The Therapeutic Alliance in Digital Mental Health Interventions for Serious Mental Illnesses: Narrative Review
181,Smart Living - Home Rehabilitation Training System Using an Interactive Television
182,Design of Therapeutic Information Systems as Indicating Through Signs
183,Technology for Early Detection of Depression and Anxiety in Older People
184,The New Role of Patients in Future Health Settings
185,Assessing professionals' adoption readiness for eMental Health: Development and Validation of the eMental Health Adoption Readiness (eMHAR) Scale (Preprint)
186,Föreställningar och kommunikation om psykisk ohälsa – en fallstudie av 1177
187,Arts and Health
188,Software architecture and stress tracker utilising nanofibre technique-based smart clothes
189,Evidence on Digital Mental Health Interventions for Adolescents and Young People: Systematic Overview
190,An Integrated Blueprint for Digital Mental Health Services Amidst COVID-19
191,User characteristics and outcomes from a national digital mental health service: an observational study of registrants of the Australian MindSpot Clinic
192,Mental Health and the Perceived Usability of Digital Mental Health Tools Among Essential Workers and People Unemployed Due to COVID-19: Cross-sectional Survey Study
193,Digital Mental Health for Young People: A Scoping Review of Ethical Promises and Challenges
194,Accessibility and Digital Mental Health: Considerations for More Accessible and Equitable Mental Health Apps
195,The impact of technology systems and professional support in digital mental health interventions: a secondary meta-analysis
196,Is the Automation of Digital Mental Health Ethical? Applying an Ethical Framework to Chatbots for Cognitive Behaviour Therapy
197,Digital Mental Health: The Answer to the Global Mental Health Crisis?
198,Ethics of Digital Mental Health During COVID-19: Crisis and Opportunities
199,"Proactive detection of people in need of mental healthcare: accuracy of the community case detection tool among children, adolescents and families in Sri Lanka"
200,Preventive digital mental health interventions for children and young people: a review of the design and reporting of research
201,Experiences of mental health support workers in mental healthcare practice: three visual art narratives.
202,Providers as Stakeholders in Addressing Implementation Barriers to Youth Mental Healthcare
203,Proposal of layered mental healthcare for mental well‐being
204,Inpatient Mental Healthcare before and during the COVID-19 Pandemic
205,"Comment on ""Digital Mental Health and COVID-19: Using Technology Today to Accelerate the Curve on Access and Quality Tomorrow"""
206,Teachers’ and health professionals’ attitudes towards adolescent mental health and digital mental health interventions
207,Management of demographic equality of access to family intervention for psychosis in specialist community mental healthcare teams
208,Effect of adding a psychological intervention to routine care of common mental disorders in a specialized mental healthcare facility in Pakistan: a randomized controlled trial
209,Challenges and Facilitators During Transitions from Adolescent Medium Secure Units to Adult Services in England: Interviews with Mental Healthcare Professionals
210,Perceived Risk and Mental Health Problems among Healthcare Professionals during COVID-19 Pandemic: Exploring the Mediating Effects of Resilience and Coronavirus Fear
211,"Worry, Severity, Controllability, and Preventive Behaviours of COVID-19 and Their Associations with Mental Health of Turkish Healthcare Workers Working at a Pandemic Hospital"
212,Inequality and mental healthcare utilisation among first-year university students in South Africa
213,Mental health disorders and utilization of mental healthcare services in United Nations personnel
214,Perspectives of mental healthcare providers on pathways to improved employment for persons with mental disorders in two lower middle-income countries
215,Impact of suicide on health professionals in psychiatric care mental healthcare professionals' perceptions of suicide during ongoing psychiatric care and its impacts on their continued care work.
216,Home Treatment for Acute Mental Healthcare: Who Benefits Most?
217,Working Towards the Development and Implementation of Precision Mental Healthcare: An Example
218,Involvement of informal carers in discharge planning and transition between hospital and community mental healthcare: a systematic review.
219,"Examining the initial usability, acceptability and feasibility of a digital mental health intervention for college students in India."
220,Pandemic and mental health of the front-line healthcare workers: a review and implications in the Indian context amidst COVID-19
221,The use of technology for mental healthcare delivery among older adults with depressive symptoms: A systematic literature review
222,"Anxiety, Post-Traumatic Stress, and Burnout in Health Professionals during the COVID-19 Pandemic: Comparing Mental Health Professionals and Other Healthcare Workers"
223,A Solution-Focused Research Approach to Achieve an Implementable Revolution in Digital Mental Health
224,What should be done to support the mental health of healthcare staff treating COVID-19 patients?
225,A Novel Peer-to-Peer Coaching Program to Support Digital Mental Health: Design and Implementation
226,Development of a Framework for the Implementation of Synchronous Digital Mental Health: Realist Synthesis of Systematic Reviews
227,"Apps, Avatars, and Robots: The Future of Mental Healthcare"
228,Digital Interventions to Support Population Mental Health in Canada During the COVID-19 Pandemic: Rapid Review
229,Manifesto for an international digital mental health network
230,Employees’ Perspectives on the Facilitators and Barriers to Engaging With Digital Mental Health Interventions in the Workplace: Qualitative Study
231,"Chronicling moral distress among healthcare providers during the COVID-19 pandemic: A longitudinal analysis of mental health strain, burnout, and maladaptive coping behaviours."
232,Healthcare professional disclosure of mental illness in the workplace: a rapid scoping review.
233,Barriers to Somatic Health Care for Persons With Severe Mental Illness in Belgium: A Qualitative Study of Patients' and Healthcare Professionals' Perspectives
234,Psychosocial factors and mental health in Mexican healthcare workers during the COVID-19 pandemic
235,"Mental Health Status, Coping Strategies During Covid-19 Pandemic Among Undergraduate Students of Healthcare Profession"
236,STRESS MANAGEMENT AMONG HEALTHCARE PROFESSIONALS DURING COVID-19 PANDEMIC: A REVIEW ON THEIR MENTAL WELL-BEING
237,Exploration of the views of healthcare professionals working in a mental health trust in England on pharmacists as future approved clinicians: early findings
238,Perceived Mental Healthcare Barriers and Health-seeking Behavior of African-American Caregivers of Adolescents with Mental Health Disorders
239,The Mental Health and Grade Point Average among College Students from Lower Socioeconomic Status Based on Healthcare Data Analysis
240,"Mental healthcare staff well‐being and burnout: A narrative review of trends, causes, implications, and recommendations for future interventions"
241,Perception of Community Pharmacists in Malaysia About Mental Healthcare and Barriers to Providing Pharmaceutical Care Services to Patients with Mental Disorders
242,Mental health impact of the first wave of COVID-19 pandemic on Spanish healthcare workers: A large cross-sectional survey
243,Barriers and facilitators to incident reporting in mental healthcare settings: a qualitative study.
244,Religiosity and barriers to mental healthcare: a qualitative study among clients seeking community mental health services
245,"The deadlock of saying ""That is what we already do!"" A thematic analysis of mental healthcare professionals' reactions to using an evidence-based intervention."
246,An Ethnographic Study of Mental Healthcare Services for People with Mental Illness in Rural Thailand
247,"Mental Healthcare Needs in World Trade Center Responders: Results from a Large, Population-Based Health Monitoring Cohort"
248,Bridging the skills gap: apprentice assistant practitioners having an impact in mental healthcare services. Part 4. The practice trainer experience
249,Health professionals' perspectives on shared decision-making in secondary mental healthcare: a qualitative study.
250,Healthcare professionals’ perspectives on mental health service provision: a pilot focus group study in six European countries
251,Considerations in Designing Digital Peer Support for Mental Health: Interview Study Among Users of a Digital Support System (Buddy Project).
252,Social capital and burnout among mental healthcare providers
253,"Coronavirus not a ‘mental health crisis,’ healthcare experts warn"
254,Mental Health Problems in Chinese Healthcare Workers Exposed to Workplace Violence During the COVID-19 Outbreak: A Cross-Sectional Study Using Propensity Score Matching Analysis
255,Digital Peer Support Mental Health Interventions for People With a Lived Experience of a Serious Mental Illness: Systematic Review
256,A mental health course for developmental allied healthcare professionals: An exploration of potential effectiveness.
257,Prevalence and Correlates of Mental Health Status Among Pre-Hospital Healthcare Staff
258,Arousal and Valence Classification Model Based on Long Short-Term Memory and DEAP Data for Mental Healthcare Management
259,A Chatbot for Psychiatric Counseling in Mental Healthcare Service Based on Emotional Dialogue Analysis and Sentence Generation
260,Process and Effects Evaluation of a Digital Mental Health Intervention Targeted at Improving Occupational Well-Being: Lessons From an Intervention Study With Failed Adoption
261,Participation in mental healthcare: a qualitative meta-synthesis
262,Concordance of the Indian Mental Healthcare Act 2017 with the World Health Organization’s Checklist on Mental Health Legislation
263,Theory of change for complex mental health interventions: 10 lessons from the programme for improving mental healthcare
264,Ensuring data integrity of healthcare information in the era of digital health
265,Problem Management Plus (PM+) in the management of common mental disorders in a specialized mental healthcare facility in Pakistan; study protocol for a randomized controlled trial
266,A Data-Enabled Business Model for a Smart Healthcare Information Service Platform in the Era of Digital Transformation
267,Histories of Social Functioning and Mental Healthcare in Severely Dysfunctional Dual-Diagnosis Psychiatric Patients
268,Virtual Reality Course Based on the SAT Counseling Method for Self-Guided Mental Healthcare
269,Experiences of Mental Healthcare Reported by Individuals Diagnosed with Bipolar Disorder: An Italian Qualitative Study
270,Digital phenotyping for mental health of college students: a clinical review
271,How people who self‐harm negotiate the inpatient environment: the mental healthcare workers perspective
272,Experiences of Mental Healthcare Reported by Individuals Diagnosed with Bipolar Disorder: An Italian Qualitative Study
273,Needs and Experiences of Users of Digital Navigation Tools for Mental Health Treatment and Supportive Services: Survey Study
274,Digital video interventions and mental health literacy among young people: a scoping review.
275,Protocol for the Implementation and Assessment of “MoodUP”: A Stepped Care Model Assisted by a Digital Platform to Accelerate Access to Mental Health Care for Cancer Patients Amid the COVID-19…
276,Acceptability and Effects of a Mobile Digital Intervention to Support Mental Health for Young Adults Transitioning to College: Pilot Randomized Trial During the COVID-19 Pandemic (Preprint)
277,COVID-19 Pandemic and Mental Health: Digital Trainings to Support Psychosomatic Rehabilitation Patients.
278,Health system constraints in integrating mental health services into primary healthcare in rural Uganda: perspectives of primary care providers
279,"Evaluation of ReachOut.com, an Unstructured Digital Youth Mental Health Intervention: Prospective Cohort Study"
280,The Importance of User Segmentation for Designing Digital Therapy for Adolescent Mental Health: Findings From Scoping Processes
281,"Assessment of Mental Health Stigma Components of Mental Health Knowledge, Attitudes and Behaviors Among Jordanian Healthcare Providers"
282,Flip the Clinic: A Digital Health Approach to Youth Mental Health Service Delivery During the COVID-19 Pandemic and Beyond
283,Substituting specialist care for patients with severe mental illness with primary healthcare. Experiences in a mixed methods study.
284,VEIWER: a Digital tool for visualising data in mental health records
285,Public Health Coverage and Access to Mental Health Care for Youth with Complex Behavioral Healthcare Needs
286,Implementation of the mental health Gap Action Programme (mhGAP) within the Fijian Healthcare System: a mixed-methods evaluation
287,Implementing peer support workers in clinically oriented sub-acute mental healthcare teams: New approaches - new challenges
288,A Service User Co-Facilitated Intervention to Reduce Mental Illness Stigma Among Primary Healthcare Workers: Utilizing Perspectives of Family Members and Caregivers
289,Digital Cognitive Behavioral Therapy for Insomnia for Adolescents With Mental Health Problems: Feasibility Open Trial
290,A qualitative exploration of service user views about using digital health interventions for self-management in severe mental health problems
291,Cultural consultation as a model for training multidisciplinary mental healthcare professionals in cultural competence skills: preliminary results.
292,Unmet Physical and Mental Healthcare Needs Among Stimulant-using Gay and Bisexual Homeless Men
293,Promoting exercise behaviour in a secure mental health setting: Healthcare assistant perspectives.
294,The patient-centered medical home model: healthcare services utilization and cost for non-elderly adults with mental illness
295,The Potential of Game-Based Digital Biomarkers for Modeling Mental Health
296,"Perceptions of mental healthcare professionals regarding inpatient therapy programmes for adolescents in the Eastern Cape, South Africa"
297,Gender Differences and Prevalence of Mental Health Problems in Students of Healthcare Units
298,Mental health status and healthcare utilization among community dwelling older adults
299,Using the RAI-MH to support shared decision-making in mental healthcare
300,Self-reported health and physical activity among community mental healthcare users.
301,Preparedness of Lithuanian general practitioners to provide mental healthcare services: a cross-sectional survey
302,Towards a conceptual consensus of continuity in mental healthcare: focused literature search and theory analysis.
303,Anxiety and Resilience of Healthcare Workers During COVID-19 Pandemic in Indonesia
304,Patterns and Predictors of Mental Healthcare Utilization in Schools and Other Service Sectors Among Adolescents at Risk for Depression
305,Validation of a Digital Support App to Assess Inflammatory Disease Activity and Mental Health Patient-Reported Outcomes (PROs): A Pilot Investigation
306,Making the use of psychotropic drugs more rational through the development of GRADE recommendations in specialist mental healthcare
307,"Digital Tools Fill a Gap in Mental Health Screening and Support, Particularly for Women Lacking Strong Social Networks"
308,Does Mindfulness practice improve the mental health and wellbeing of healthcare students?
309,"Revisiting the concept of severe mental illness: severity indicators and healthcare spending in psychotic, depressive and dissociative disorders"
310,The Healthcare Needs of Latinos with Serious Mental Illness and the Potential of Peer Navigators
311,Prioritizing the healthcare needs of Latinos with mental illness
312,"Revisiting the concept of severe mental illness: severity indicators and healthcare spending in psychotic, depressive and dissociative disorders"
313,"Gender-affirming care, mental health, and economic stability in the time of COVID-19: A multi-national, cross-sectional study of transgender and nonbinary people"
314,"A Blockchain and Artificial Intelligence-Based, Patient-Centric Healthcare System for Combating the COVID-19 Pandemic: Opportunities and Applications"
315,"Veteran Status, Sociodemographic Characteristics, and Healthcare Factors Associated with Visiting a Mental Health Professional"
316,Mental healthcare in prisons
317,Organised abuse: A neglected category of sexual abuse with significant lifetime mental healthcare sequelae
318,Adequacy of Help Received by Individuals with Severe Mental Disorders After a Major Healthcare Reform in Quebec: Predictors and Changes at 5-Year Follow-Up
319,Psychological Support Interventions for Healthcare Providers and Informal Caregivers during the COVID-19 Pandemic: A Systematic Review of the Literature
320,The future of digital health with federated learning
321,How digital storytelling is used in mental health: A scoping review.
322,The Use of Classic Hallucinogens/Psychedelics in a Therapeutic Context: Healthcare Policy Opportunities and Challenges
323,Mental Health Concerns in the Digital Age
324,Effectiveness of Psychological Support to Healthcare Workers by the Occupational Health Service: A Pilot Experience
325,Machine Learning‐Reinforced Noninvasive Biosensors for Healthcare
326,Incorporating Preliminary Mental Health Assessment in the Initial Healthcare for Refugees in New Jersey
327,Effects of the COVID-19 Pandemic on Mental Health in Peru: Psychological Distress
328,Enhancing psychological safety in mental health services
329,"Mobile Apps That Promote Emotion Regulation, Positive Mental Health, and Well-being in the General Population: Systematic Review and Meta-analysis"
330,Mental Health and Health-Related Quality-of-Life Outcomes Among Frontline Health Workers During the Peak of COVID-19 Outbreak in Vietnam: A Cross-Sectional Study
331,"Religious Coping, Depression and Anxiety among Healthcare Workers during the COVID-19 Pandemic: A Malaysian Perspective"
332,"Mobile Apps That Promote Emotion Regulation, Positive Mental Health, and Well-being in the General Population: Systematic Review and Meta-analysis"
333,Socioeconomic and racial/ethnic disparities in postpartum consultation for mental health concerns among US mothers
334,"The Need, Feasibility and Willingness to Explore “Meditation on Twin Hearts” as a Self-administered Tool for Mental Health Management among Transgender Women: An Exploratory Survey"
335,"IoT-Based Computational Frameworks in Disease Prediction and Healthcare Management: Strategies, Challenges, and Potential"
336,Development of a Mobile Phone App to Support Self-Monitoring of Emotional Well-Being: A Mental Health Digital Innovation
