,Title
80,Impact on mental health and perceptions of psychological care among medical and nursing staff in Wuhan during the 2019 novel coronavirus disease outbreak: A cross-sectional study
81,Multi-sited therapeutic assemblages: Virtual and real-life emplacement of youth mental health support
82,PPE fit of healthcare workers during the COVID-19 pandemic
83,The window to the world for individuals with mental disorders: A qualitative study about social media
84,Psychiatric rehabilitation through teaching smartphone skills to improve functional outcomes in serious mental illness
85,Access to healthcare among youth experiencing homelessness: Perspectives from healthcare and social service providers
86,Loneliness in older people and COVID-19: Applying the social identity approach to digital intervention design
87,"Frontline healthcare providers’ behavioural intention to Internet of Things (IoT)-enabled healthcare applications: A gender-based, cross-generational study"
88,"Considerations of diversity, equity, and inclusion in mental health apps: A scoping review of evaluation frameworks"
89,Factors influencing the acceptance of healthcare information technologies: A meta-analysis
90,Impact of COVID-19 and lockdown on mental health of children and adolescents: A narrative review with recommendations
91,An investigation of the information provided to the parents of young people with mental health needs on an internet forum
92,The Role of the Internet of Things in Healthcare: Future Trends and Challenges
93,Emergence of the ‘Digitalized Self’ in the Age of Digitalization
94,Exploring equity in accessing diabetes management treatment: A healthcare gap analysis
95,Digital health technology for Indigenous older adults: A scoping review
96,Mobile health applications for mental illnesses: An Asian context
97,The effect of user interface on treatment engagement in a self-guided digital problem-solving intervention: A randomized controlled trial
98,Digital health use in latent tuberculosis infection care: A systematic review
99,Acceptance towards digital health interventions – Model validation and further development of the Unified Theory of Acceptance and Use of Technology
100,Acceptance towards digital health interventions – Model validation and further development of the Unified Theory of Acceptance and Use of Technology
101,Smartphone apps for the treatment of mental health conditions: status and considerations
102,Towards development of IoT-ML driven healthcare systems: A survey
103,"Not just “big” data: Importance of sample size, measurement error, and uninformative predictors for developing prognostic models for digital interventions"
104,Mental health trajectories of individuals and families following the COVID-19 pandemic: Study protocol of a longitudinal investigation and prevention program
105,Application of photoplethysmography signals for healthcare systems: An in-depth review
106,Tactile co-design tools for complex interdisciplinary problem exploration in healthcare settings
107,Older adults’ willingness to share their personal and health information when adopting healthcare technology and services
108,Internet of Things: A survey of enabling technologies in healthcare and its applications
109,LAMP: a monitoring framework for mHealth application research
110,Choreographies of sexual safety and liminality: Forensic mental health and the limits of recovery
111,Addressing the mental health impact of COVID-19 through population health
112,Predictive data analysis approach for securing medical data in smart grid healthcare systems
113,Passive data collection and use in healthcare: A systematic review of ethical issues
114,Digitalization in psychology: A bit of challenge and a byte of success
115,An evidence based framework for the Temporal Observational Analysis of Teamwork in healthcare settings
116,Blockchain technology in the healthcare industry: Trends and opportunities
117,"Digital product innovations for the greater good and digital marketing innovations in communications and channels: Evolution, emerging issues, and future research directions"
118,Digital audiovisual contents for literacy in depression: a pilot study with university students
119,"“Fat broken arm syndrome”: Negotiating risk, stigma, and weight bias in LGBTQ healthcare"
120,"A review on deep learning approaches in healthcare systems: Taxonomies, challenges, and open issues"
121,Global prevalence of digital addiction in general population: A systematic review and meta-analysis
122,Smartphone ownership and use of mental health applications by psychiatric inpatients
123,Steps towards an Healthcare Information Model based on openEHR
124,Understandings of mental health and support for Black male adolescents living in the UK
125,Information hiding methods for E-Healthcare
126,Detached co-involvement in interactional care: Transcending temporality and spatiality through mHealth in a social psychiatry out-patient setting
127,Mental disorders on online social media through the lens of language and behaviour: Analysis and visualisation
128,Cognitive computing and wireless communications on the edge for healthcare service robots
129,Assessing costs of developing a digital program for training community health workers to deliver treatment for depression: A case study in rural India
130,Children’s services for the digital age: A qualitative study into current procedures and online risks among service users
131,Youth and professional perspectives of mental health resources across eight countries
132,"Exploring the complexity of acute inpatient mental health nurses experience of chemical restraint interventions: Implications on policy, practice and education"
133,Factors influencing mHealth adoption and its impact on mental well-being during COVID-19 pandemic: A SEM-ANN approach
134,Patients’ use of digital pens for pain assessment in advanced palliative home healthcare
135,"Power, paradox and pessimism: On the unintended consequences of digital health technologies in primary care"
136,"Home alone: Social functioning as a transdiagnostic marker of mental health in youth, exploring retrospective and daily life measurements"
137,"Occupational stressors, mental health, and sleep difficulty among nurses during the COVID-19 pandemic: The mediating roles of cognitive fusion and cognitive reappraisal"
138,Social media based surveillance systems for healthcare using machine learning: A systematic review
139,Mental health outcomes associated with the COVID-19 pandemic: Prevalence and risk factors in a southern US state
140,Parent and provider perspectives on recently incarcerated youths’ access to healthcare during community reentry
141,IoT and artificial intelligence implementations for remote healthcare monitoring systems: A survey
142,"Digital innovation and the effects of artificial intelligence on firms’ research and development – Automation or augmentation, exploration or exploitation?"
143,Common themes and emerging trends for the use of technology to support mental health and psychosocial well-being in limited resource settings: A review of the literature
144,Structural stigma and sexual orientation disparities in healthcare use: Evidence from Australian Census-linked-administrative data
145,Blockchain and Smart Healthcare Security: A Survey
146,Operationalizing resilient healthcare concepts through a serious video game for clinicians
147,"Item-level analysis of mental health symptom trajectories during the COVID-19 pandemic in the UK: Associations with age, sex and pre-existing psychiatric conditions"
148,Digital health interventions for youth with ADHD: A mapping review
149,Mobile phone use among patients and health workers to enhance primary healthcare: A qualitative study in rural South Africa
150,Toward Semantic IoT Load Inference Attention Management for Facilitating Healthcare and Public Health Collaboration: A Survey
151,An overview of the features of chatbots in mental health: A scoping review
152,Digital health & low-value care
153,Digi&Mind: Development and validation of a multi-domain digital cognitive stimulation program for older adults with cognitive decline
154,Decreasing mental well-being during the COVID-19 pandemic: A longitudinal study among Danes before and during the pandemic
155,Rethinking the digital transformation in knowledge-intensive services: A technology space analysis
156,An exhaustive survey on security and privacy issues in Healthcare 4.0
157,Coping with COVID-19: The sociomaterial dimensions of living with pre-existing mental illness during the early stages of the coronavirus crisis
158,Canada protocol: An ethical checklist for the use of artificial Intelligence in suicide prevention and mental health
159,Validation of UK Biobank data for mental health outcomes: A pilot study using secondary care electronic health records
160,"Seeking treatment for mental illness and substance abuse: A cross-sectional study on attitudes, beliefs, and needs of military personnel with and without mental illness"
161,Private cloud solution for Securing and Managing Patient Data in Rural Healthcare System
162,A group decision-making approach for exploring trends in the development of the healthcare industry in Taiwan
163,An overview of current mental health in the general population of Australia during the COVID-19 pandemic: Results from the COLLATE project
164,Ongoing Disparities in Digital and In-Person Access to Child Psychiatric Services in the United States
165,The role of digital health in making progress toward Sustainable Development Goal (SDG) 3 in conflict-affected populations
166,Acceptability and feasibility of digital technology for training community health workers to deliver brief psychological treatment for depression in rural India
167,Factor analysis and predictive validity of the Early Risks of Physical Abuse and Neglect Scale (ERPANS): A prospective study in Dutch public youth healthcare
168,Artificial intelligence in cognitive psychology — Influence of literature based on artificial intelligence on children's mental disorders
169,Terms and conditions apply: Critical issues for readability and jargon in mental health depression apps
170,Improving child and youth mental health: Stakeholder perspectives from a cross-sectional survey to inform research priorities
171,Facing the “new normal”: How adjusting to the easing of COVID-19 lockdown restrictions exposes mental health inequalities
172,Development and implementation of COVID-19 safety protocols for conducting a randomized trial in global mental health: Field report from Central India
173,"A systematic review of IoT in healthcare: Applications, techniques, and trends"
174,Self-help cognitive behavioral therapy application for COVID-19-related mental health problems: A longitudinal trial
175,Big data handling mechanisms in the healthcare applications: A comprehensive and systematic literature review
176,The entrepreneurial journeys of digital start-up founders
177,"Mobile applications aiming to facilitate immigrants’ societal integration and overall level of integration, health and mental health. Does artificial intelligence enhance outcomes?"
178,"The application of digital health to the assessment and treatment of substance use disorders: The past, current, and future role of the National Drug Abuse Treatment Clinical Trials Network"
179,Mental health and care needs of British children and young people aged 6–17
180,An analysis of mental health of social media users using unsupervised approach
181,Concurrence of big data analytics and healthcare: A systematic review
182,Feasibility and efficacy of a digital CBT intervention for symptoms of Generalized Anxiety Disorder: A randomized multiple-baseline study
183,Adapting UX to the design of healthcare games and applications
184,"A multinational, multicentre study on the psychological outcomes and associated physical symptoms amongst healthcare workers during COVID-19 outbreak"
185,Child maltreatment online education for healthcare and social service providers: Implications for the COVID-19 context and beyond
186,Effect of digital cognitive behavioral therapy on psychological symptoms among perinatal women in high income-countries: A systematic review and meta-regression
187,The inclusive analysis of ICT ethical issues on healthy society: a global digital divide approach
188,“We are to be like machines…fill the bed before it gets cold”: Exploring the emotional geographies of healthcare providers caring for dying residents in long-term care facilities
189,Exploring the acceptability of a WHO school-based mental health program in Egypt: A qualitative study
190,“The time is now”: A multimodal pragmatic analysis of how identity and distance are indexed in HIV risk communication digital campaigns in US
191,"“I function when I’m painting” – Consumers, carers and staff experiences of an art and mental health recovery project in Fiji"
192,The digital divide: A review and future research agenda
193,Children of parents with mental illness in the COVID-19pandemic: A cross-sectional survey in China
194,Service providers’ experiences of using a telehealth network 12 months after digitisation of a large Australian rural mental health service
195,Are videoconferenced mental and behavioral health services just as good as in-person? A meta-analysis of a fast-growing practice
196,"COVID-19 and its impact on education, social life and mental health of students: A survey"
197,"Studying the impact of built environments on human mental health in everyday life: methodological developments, state-of-the-art and technological frontiers"
198,A systematic review of emerging information technologies for sustainable data-centric health-care
199,Improving Mental Health on College Campuses: Perspectives of Indian College Students
200,Uncovering insights from healthcare archives to improve operations: An association analysis for cervical cancer screening
201,The impact of data entry structures on perceptions of individuals with chronic mental disorders and physical diseases towards health information sharing
202,Mental Health Interventions during the COVID-19 Pandemic: A Conceptual Framework by Early Career Psychiatrists
203,Social media recruitment for mental health research: A systematic review
204,Can technological advancements help to alleviate COVID-19 pandemic? a review
205,Dual effects of social support seeking in patient-centric online healthcare communities: A longitudinal study
206,Reasons behind the rising rate of involuntary admissions under the Mental Health Act (1983): Service use and cost impact
207,The contours of a human individual model based empathetic u-pillbox system for humanistic geriatric healthcare
208,Flexible and wearable healthcare sensors for visual reality health-monitoring
209,Thank you for asking: Exploring patient perceptions of barcode medication administration identification practices in inpatient mental health settings
210,Perceived barriers to providing spiritual care among psychiatric mental health nurses
211,Developing a sampling method and preliminary taxonomy for classifying COVID-19 public health guidance for healthcare organizations and the general public
212,Development of the eTAP: A brief measure of attitudes and process in e-interventions for mental health
213,"State lockdown policies, mental health symptoms, and using substances"
214,Understanding the low cost business model in healthcare service provision: A comparative case study in Italy
215,"Patient-centric ICTs based healthcare for students with learning, physical and/or sensory disabilities"
216,Cyberthanathology: Death and beyond in the digital age
217,Proposal of an ontology for Mental Health Management in Brazil
218,How reliable are self-assessments using mobile technology in healthcare? The effects of technology identity and self-efficacy
219,Positive psychological capital to help combat the mental health fallout from the pandemic and VUCA environment
220,Exploring the role and impact of visual art groups with multiple stakeholders in recovery-oriented mental health services
221,"Mental health of adolescents in Myanmar: A systematic review of prevalence, determinants and interventions"
222,StreetWise: A Valid Ecology for a Serious Game in a Secure Forensic Mental Health Setting
223,The health needs and healthcare experiences of young people trafficked into the UK
224,Development of the eTAP-T: A measure of mental health professionals' attitudes and process towards e-interventions
225,Understanding indirect system use of junior employees in the context of healthcare
226,Steps towards a digital health ecosystem
227,Healthcare consumers' opt-in intentions to Health Information Exchanges (HIEs): An empirical study
228,Impact of China's referral reform on the equity and spatial accessibility of healthcare resources: A case study of Beijing
229,Conflict management: A qualitative study of mental health staff's perceptions of factors that may influence conflicts with forensic mental health inpatients
230,The impact of digital technology on psychological treatments and their dissemination
231,Preventing Post Traumatic Stress Disorder in the general population induced by trauma during the COVID pandemic: A simple brief intervention based on cognitive science that could be delivered digitally
232,"Association between screen time and cumulating school, behavior, and mental health difficulties in early adolescents: A population-based study"
233,Prosociality in times of separation and loss
234,The role of psychiatric mental health nurse practitioners in improving mental and behavioral health care delivery for children and adolescents in multiple settings
235,"Arts, therapy, and health: Three stakeholder viewpoints related to young people⿿s mental health and wellbeing in Australia"
236,Systematization of the principles and methods of applying for digital medicine in oncology
237,COVID-19 and digital inequalities: Reciprocal impacts and mitigation strategies
238,Predicting healthcare trajectories from medical records: A deep learning approach
239,"A digital self-management intervention for adults with type 2 diabetes: Combining theory, data and participatory design to develop HeLP-Diabetes"
240,Prediction of Mental Illness Associated with Unemployment Using Data Mining
241,Digital technologies as a new component of the business process
242,Film and television culture dissemination based on ZYNQ embedded digital image processing
243,New digital rights: Imagining additional fundamental rights for the digital era
244,Six mechanisms behind carer wellbeing effects: A qualitative study of healthcare delivery
245,Integrating crowd-/service-sourcing into digital twin for advanced manufacturing service innovation
246,"Exploring the public health potential of RED January, a social media campaign supporting physical activity in the community for mental health: A qualitative study"
247,Suicide risk assessment in UK mental health services: a national mixed-methods study
248,Attitudes towards digital treatment for depression: A European stakeholder survey
249,Developing a web-based support using self-affirmation to motivate lifestyle changes in type 2 diabetes: A qualitative study assessing patient perspectives on self-management and views on a digital lifestyle intervention
250,Suicide rates by ethnic group among patients in contact with mental health services: an observational cohort study in England and Wales
251,Promoting patient and family engagement through healthcare facility design: A systematic literature review
252,Lessons learned from designing an asynchronous remote community approach for behavioral activation intervention for teens
253,Emotional support from a digital assistant in technology-mediated services: Effects on customer satisfaction and behavioral persistence
254,Leveraging the social network for treatment of social anxiety: Pilot study of a youth-specific digital intervention with a focus on engagement of young men
255,Examining sensor-based physical activity recognition and monitoring for healthcare using Internet of Things: A systematic review
256,Telehealth-based creative arts therapy: Transforming mental health and rehabilitation care for rural veterans
257,Smart healthcare framework for ambient assisted living using IoMT and big data analytics techniques
258,Electronic health record: Wiring Europe’s healthcare
259,A novel digital health intervention to improve patient engagement to stimulants in adult ADHD in the primary care setting: Preliminary findings from an open label study
260,A systems biology approach to the digital behaviorome
261,"Integrating electronic healthcare records of armed forces personnel: Developing a framework for evaluating health outcomes in England, Scotland and Wales"
262,Health literacy as a social practice: Social and empirical dimensions of knowledge on health and healthcare
263,Mental and Physical Mobile Health Apps: Review
264,A framework for assessing social acceptability of industry 4.0 technologies for the development of digital manufacturing
265,Examining the effects of social influence in pre-adoption phase and initial post-adoption phase in the healthcare context
266,Physical and mental health complications post-COVID-19: Scoping review
267,Artificial intelligence and Psychiatry: An overview
268,Health equity monitoring for healthcare quality assurance
269,Why we heal: The evolution of psychological healing and implications for global mental health
270,The development of a systems mindset in the first-year students studying online at a vocational pedagogical university while mastering the basics of working with digital technologies
271,Persistent digital divide in access to and use of the Internet as a resource for health information: Results from a California population-based study
272,Integrating digital phenotyping in clinical characterization of individuals with mood disorders
273,Mental health interventions for African children: A meta-analytic review
274,Users' search mechanisms and risks of inappropriateness in healthcare innovations: The role of literacy and trust in professional contexts
275,A narrative synthesis systematic review of digital self-monitoring interventions for middle-aged and older adults
276,The effects of improving sleep on mental health (OASIS): a randomised controlled trial with mediation analysis
277,Is cyberchondria a new transdiagnostic digital compulsive syndrome? A systematic review of the evidence
278,Parent perceptions of mental illness in Chinese American youth
279,The internet of things in healthcare: An overview
280,"Analysing trends of psychiatric disorders, treatment and service use across time in adults with borderline intellectual impairment: A cross-sectional study of private households"
281,Post-acute college student satisfaction with telepsychiatry during the COVID-19 pandemic
282,"Politicisation, depoliticisation, and repoliticisation of health care controversies: Vaccination and mental health care reform in the Czech Republic"
283,Capacity-building and training opportunities for implementation science in mental health
284,"Developing and testing the F-SIM, a measure of social inclusion for people with mental illness"
285,Evolutionary paths and influencing factors towards digital maturity: An analysis of the status quo in Swiss hospitals
286,Impact of using wearable devices on psychological Distress: Analysis of the health information national Trends survey
287,Conceptualization and application of an approach for designing healthcare software interfaces
288,Ecological momentary assessment (EMA) of mental health outcomes in veterans and servicemembers: A scoping review
289,Negotiating the (bio)medical gaze – Experiences of trans-specific healthcare in Sweden
290,Towards a new paradigm of healthcare: Addressing challenges to professional identities through Community Operational Research
291,An exploration of whether mental health nurses practice in accordance with The Family Model
292,Exploring academics beliefs about the meaning of life to inform mental health clinical practice
293,‘Keep complaining til someone listens’: Exchanges of tacit healthcare knowledge in online illness communities
294,Digital cities of the future: Extending @home assistive technologies for the elderly and the disabled
295,Interventions aimed at reducing poverty for primary prevention of mental illness: A scoping review
296,Computer mediated reality technologies: A conceptual framework and survey of the state of the art in healthcare intervention systems
297,Advanced internet of things for personalised healthcare systems: A survey
298,Healthcare hashtag index development: Identifying global impact in social media
299,Survey of main challenges (security and privacy) in wireless body area networks for healthcare applications
300,Emerging information technologies for enhanced healthcare
301,"Health-related quality of life of hospitalized COVID-19 survivors: An initial exploration in Nanning city, China"
302,Implications of big data analytics in developing healthcare frameworks – A review
303,Smart healthcare in Europe
304,Rapid Systematic Review: The Impact of Social Isolation and Loneliness on the Mental Health of Children and Adolescents in the Context of COVID-19
305,"The role of Information and Communication Technologies in healthcare: taxonomies, perspectives, and challenges"
306,Clinical and demographic predictors of engagement in mobile health vs. clinic-based interventions for serious mental illness
307,An empirical study of healthcare providers and patients׳ perceptions of electronic health records
308,"Digital assessment of working memory and processing speed in everyday life: Feasibility, validation, and lessons-learned"
309,Consensus statement on the problem of terminology in psychological interventions using the internet or digital components
310,Change in self-reported health: A signal for early intervention in a medicare population
311,Shared decision making in a semi-secluded chronic psychiatric ward: The reflective lifeworld experiences of patients with schizophrenia or schizoaffective disorders and nursing staff
312,Real-time Wireless Healthcare system for Angular Transmission of EEG signal using VL-OCC
313,Design and evaluation of Ubiquitous Information Systems and use in healthcare
314,Benefits and Challenges of Telepsychiatry Services in SouthEast Asian Nations during the COVID-19 Era: An Integrative Review
315,Creative problem solving in digital space using visual analytics
316,Mental health monitoring with multimodal sensing and machine learning: A survey
317,Healthcare professionals’ use of health clouds: Integrating technology acceptance and status quo bias perspectives
318,"Connection, meaning, and distraction: A qualitative study of video game play and mental health recovery in veterans treated for mental and/or behavioral health problems"
319,Leading teams in the digital age: Four perspectives on technology and what they mean for leading teams
320,The Transition of Academic Mental Health Clinics to Telehealth During the COVID-19 Pandemic
321,A comprehensive health assessment framework to facilitate IoT-assisted smart workouts: A predictive healthcare perspective
322,A Review of Cross Organizational Healthcare Data Sharing
323,Exploring mental health providers' interest in using web and mobile-based tools in their practices
324,The role of institutional work in the transformation of the IT function: A longitudinal case study in the healthcare sector
325,Internet-Based Acceptance and Commitment Therapy: A Transdiagnostic Systematic Review and Meta-Analysis for Mental Health Outcomes
326,Health care professionals’ perspectives on physical activity within the Ugandan mental health care system
327,Psychological and social impact and lifestyle changes among pregnant women of COVID-19 pandemic: A qualitative study
328,Subjective well-being and the measurement of quality in healthcare
329,Use of information and communication technologies among individuals with and without serious mental illness
330,Data Mining in Healthcare – A Review
331,The automation of bias in medical Artificial Intelligence (AI): Decoding the past to create a better future
332,Predictive value of psychological resilience for mental health disturbances: A three-wave prospective study among police officers
333,Getting to the point: developing IT for the sharp end of healthcare
334,Women’s use of online resources and acceptance of e-mental health tools during the perinatal period
335,A blockchain security module for brain-computer interface (BCI) with Multimedia Life Cycle Framework (MLCF)
336,Platform drifting: When work digitalization hijacks its spirit
337,The significance of cognitive modeling in building healthcare interfaces
338,The Lancet Psychiatry Commission: a blueprint for protecting physical health in people with mental illness
339,Electronic healthcare communications in Vietnam in 2004
340,"Mobile health (mHealth) for mental health in Asia: Objectives, strategies, and limitations"
341,The use of VR tilt brush in art and psychomotor therapy: An innovative perspective
342,Component analysis of a synchronous and asynchronous blended care CBT intervention for symptoms of depression and anxiety: Pragmatic retrospective study
343,Insights into internet-delivered cognitive behavioural therapy for public safety personnel: Exploration of client experiences during and after treatment
344,Impacts of social distancing during COVID-19 pandemic on the daily life of forestry students
345,Healthcare providers’ perceptions of barriers in implementing of home telecare in Taiwan: A qualitative study
346,"Should AI-Based, conversational digital assistants employ social- or task-oriented interaction style? A task-competency and reciprocity perspective for older adults"
347,Foster care during the COVID-19 pandemic: A qualitative analysis of caregiver and professional experiences
348,An automated Psychometric Analyzer based on Sentiment Analysis and Emotion Recognition for healthcare
349,Reproducing stigma: Interpreting “overweight” and “obese” women's experiences of weight-based discrimination in reproductive healthcare
350,"Information overload, psychological ill-being, and behavioral intention to continue online healthcare information search"
351,Governing through care: A qualitative assessment of team play between police and nurses for people with mental illness
352,Guided internet-based transdiagnostic individually tailored Cognitive Behavioral Therapy for symptoms of depression and/or anxiety in college students: A randomized controlled trial
353,Healthcare Technology Self-Efficacy (HTSE) and its influence on individual attitude: An empirical study
354,Championing telemedicine adoption and utilization in healthcare organizations in New Zealand
355,Building a mental health literacy model and verbal scale for children: Results of a Delphi study
356,An intelligent framework using disruptive technologies for COVID-19 analysis
357,Internet-delivered CBT intervention (Space for Sleep) for insomnia in a routine care setting: Results from an open pilot study
358,Can a little bit of mindfulness do you good? A systematic review and meta-analyses of unguided mindfulness-based self-help interventions
359,Understanding the evolving preferences for use of health information technology among adults with self reported anxiety and depression in the U.S
360,Do (how) digital natives adopt a new technology differently than digital immigrants? A longitudinal study
361,Improving attitudes toward e-mental health services in the general population via psychoeducational information material: A randomized controlled trial
362,"Phenotyping mental health: Age, community size, and depression differently modulate COVID-19-related fear and generalized anxiety"
363,Where WTS meets WTB: A Blockchain-based Marketplace for Digital Me to trade users’ private data
364,A research model to explain acceptance of speech therapy devices by senior aphasia patients
365,Digital questionnaire platform in the Danish Blood Donor Study
366,Patient and provider experiences of telemental health during the COVID-19 pandemic in a New York City academic medical center
367,Implementing internet-delivered cognitive behavior therapy for common mental health disorders: A comparative case study of implementation challenges perceived by therapists and managers in five European internet services
368,Uptake and usage of IntelliCare: A publicly available suite of mental health and well-being apps
369,Artificial intelligence approaches to predicting and detecting cognitive decline in older adults: A conceptual review
370,From telehealth to virtual primary care in Australia? A Rapid scoping review
371,“A decade’s worth of work in a matter of days”: The journey to telehealth for the whole population in Australia
372,Remote Recognition of Human Emotions Using Deep Machine Learning of Artificial Neural Networks
373,ListeningTime; participatory development of a web-based preparatory communication tool for elderly cancer patients and their healthcare providers
374,"Sensors for internet of medical things: State-of-the-art, security and privacy issues, challenges and future directions"
